Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA,Smart_Breach_Count,Smart_Breach_Energy,Open_Breach_Count,Open_Breach_Energy,Smart_Peak,Open_Peak,Smart_Cost,Open_Cost,Smart_Energy,Open_Energy
0.25,0.01,2,36.865114142093894,66.58969027569505,95.94211093482869,4,0.4713462737644143,9,27.434071488729373,5.654507360857844,16.924438616456065,6.630075998231557,10.501446083475102,77.76812988543966,39.35931042225946
0.0,0.01,3,32.64144567083493,65.6220474109416,95.22782705152225,2,0.6953542999999995,11,30.17216075142305,6.381411099999999,18.562510619178163,7.927081167424542,11.768484710474636,72.24042938170291,47.51096416725644
0.75,0.01,4,32.63826904526517,60.188896244730685,95.95623496166237,0,0.0,8,18.5086313222066,4.9753648376845625,12.497430034267849,4.747289638493767,7.0474579129859505,45.51492820554989,30.555741428432114
0.5,0.01,3,31.903365647325522,57.94077703080846,93.78295490014139,3,2.763210874999999,11,30.17216075142305,7.807247729999999,18.562510619178163,8.013942002142315,11.768484710474636,60.74022509431088,47.51096416725644
0.5,0.01,2,32.25628054484958,42.40151805967995,94.86525478381503,5,3.5986717101029955,9,27.434071488729373,9.74821972,16.924438616456065,7.114070173523254,10.501446083475102,64.03871142942542,39.35931042225946
0.0,0.01,0,17.31233368509788,62.58036316627182,95.92233651930636,4,0.7848013683608328,9,26.429462920267863,6.060762902100792,16.196744316443834,8.309421534111157,10.04916682793552,76.05858683358969,49.49019033571015
0.0,0.05,4,33.174476263383795,60.846783966119155,97.61715303059688,0,0.0,8,18.5086313222066,4.89314578,12.497430034267849,4.7095006604704635,7.0474579129859505,56.238443089013074,30.555741428432114
0.75,0.01,3,33.75485272326311,67.5688298123838,92.97230884193948,3,1.0033904269999994,11,30.17216075142305,6.02003941,18.562510619178163,7.796050028694186,11.768484710474636,59.08270785901727,47.51096416725644
0.75,0.01,0,15.082373955487554,41.2966659580659,94.68631406530392,5,7.7256147206883705,9,26.429462920267863,9.50802892,16.196744316443834,8.533513907535479,10.04916682793552,70.10391420672778,49.49019033571015
0.25,0.01,1,24.296453098600495,53.03538010481987,95.29021819749201,15,10.8850172846299,12,39.1206181873001,8.46918796,18.03312361284366,11.763549542615358,15.538967491096365,97.2012793917904,60.11041000915883
0.0,0.05,2,35.47595733443818,67.95766428124183,95.86097954348548,2,0.24744625755365002,9,27.434071488729373,5.4229854400000015,16.924438616456065,6.7759575514024455,10.501446083475102,73.02458775533641,39.35931042225946
0.75,0.01,2,31.422138477174975,31.936937105851776,94.85927103381732,6,6.162922515716726,9,27.434071488729373,11.5192913,16.924438616456065,7.201667153019687,10.501446083475102,65.62012571733152,39.35931042225946
0.5,0.01,1,26.500295429890507,47.992668373213185,94.13007746958868,11,12.372576425000002,12,39.1206181873001,9.378546400000001,18.03312361284366,11.421095199201183,15.538967491096365,84.21379891167341,60.11041000915883
0.1,0.01,1,31.863275227686305,51.88888300072001,95.55152113765365,8,5.098833508918686,12,39.1206181873001,8.6759372,18.03312361284366,10.587743511867629,15.538967491096365,95.66699751957155,60.11041000915883
0.1,0.05,4,31.038579970483855,55.725107766414574,97.70143678384702,1,0.2666118398199142,8,18.5086313222066,5.533223679639828,12.497430034267849,4.860027052777614,7.0474579129859505,57.24369097288694,30.555741428432114
0.25,0.05,4,30.919343865517256,52.988076720334874,98.03544518525628,1,0.4376411098199142,8,18.5086313222066,5.875282219639828,12.497430034267849,4.868430167092218,7.0474579129859505,55.58628686328191,30.555741428432114
0.1,0.05,0,19.359575626793372,57.80620014884992,96.31718181662228,4,1.4367066735694847,9,26.429462920267863,6.834021879282838,16.196744316443834,8.103690776018711,10.04916682793552,79.38339601298476,49.49019033571015
0.1,0.05,2,35.963160327979686,65.09887458837167,96.38488779385156,3,0.6188763522693224,9,27.434071488729373,5.906819546743385,16.924438616456065,6.724794191718607,10.501446083475102,74.69649212436684,39.35931042225946
0.0,0.05,3,32.6279758611863,66.85387162206828,95.42632282941841,2,0.5810255500000001,11,30.17216075142305,6.1527536000000005,18.562510619178163,7.928666359913572,11.768484710474636,71.41624047408978,47.51096416725644
0.0,0.01,1,30.69237403240761,61.1302137639222,94.89284238222669,17,6.4589257336851995,12,39.1206181873001,7.0094366,18.03312361284366,10.769689467954844,15.538967491096365,94.73036135979673,60.11041000915883
0.0,0.05,0,17.146724529368704,62.58036316627182,95.94884705187089,3,1.0024108668239666,9,26.429462920267863,6.060762902100792,16.196744316443834,8.326063874452718,10.04916682793552,75.66999479665674,49.49019033571015
0.1,0.05,3,32.726436521807386,73.56496403113125,95.49246501782983,0,0.0,11,30.17216075142305,4.9070063589048285,18.562510619178163,7.917079032122547,11.768484710474636,75.04173781988555,47.51096416725644
0.25,0.05,2,36.19786635430323,61.681066634746884,96.17137420355695,1,0.7426321779414833,9,27.434071488729373,6.485264355882967,16.924438616456065,6.700146664909574,10.501446083475102,80.31422998115093,39.35931042225946
0.5,0.05,4,30.16621563084625,55.30621116242117,95.81969828894646,1,0.2927874948199136,8,18.5086313222066,5.585574989639827,12.497430034267849,4.921506562461472,7.0474579129859505,51.18631933723722,30.555741428432114
0.75,0.01,1,33.1514136589336,23.979493601229542,95.26068906852034,15,21.416751504999997,12,39.1206181873001,13.708871890000001,18.03312361284366,10.387580099795793,15.538967491096365,92.28318561498423,60.11041000915883
